id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
19973815,分手合约,,https://dou.img.lithub.cc/movie/19973815.jpg,2013-04-12(中国大陆),https://movie.douban.com/subject/19973815/,5.8,爱情,,,,2019-10-09 07:15:46,2013 / 中国大陆 韩国 / 爱情 / 吴基桓 / 白百何 彭于晏
10574622,人再囧途之泰囧,,https://dou.img.lithub.cc/movie/10574622.jpg,2012-12-12(中国大陆),https://movie.douban.com/subject/10574622/,7.5,喜剧,,,,2019-10-09 07:14:55,2012 / 中国大陆 / 喜剧 / 徐峥 / 徐峥 王宝强
1907966,疯狂原始人,,https://dou.img.lithub.cc/movie/1907966.jpg,2013-04-20(中国大陆),https://movie.douban.com/subject/1907966/,8.7,"喜剧,动画,冒险",,,,2019-10-09 07:14:50,2013 / 美国 / 喜剧 动画 冒险 / 柯克·德·米科 克里斯·桑德斯 / 尼古拉斯·凯奇 艾玛·斯通
10574468,北京遇上西雅图,,https://dou.img.lithub.cc/movie/10574468.jpg,2013-03-21(中国大陆),https://movie.douban.com/subject/10574468/,7.3,"喜剧,爱情",,,,2019-10-09 07:14:41,2013 / 中国大陆 中国香港 / 喜剧 爱情 / 薛晓路 / 汤唯 吴秀波
3274505,猩球崛起,,https://dou.img.lithub.cc/movie/3274505.jpg,2011-10-28(中国大陆),https://movie.douban.com/subject/3274505/,8.2,"剧情,动作,科幻",,,,2019-10-09 07:14:32,2011 / 美国 / 剧情 动作 科幻 / 鲁伯特·瓦耶特 / 安迪·瑟金斯 詹姆斯·弗兰科
5319835,101次求婚,,https://dou.img.lithub.cc/movie/5319835.jpg,2013-02-12(中国大陆),https://movie.douban.com/subject/5319835/,5.7,爱情,,,,2019-10-09 07:14:30,2013 / 中国大陆 中国台湾 日本 / 爱情 / 陈正道 / 黄渤 林志玲
20376577,小时代,,https://dou.img.lithub.cc/movie/20376577.jpg,2013-06-27(中国大陆),https://movie.douban.com/subject/20376577/,5,"剧情,喜剧,爱情",,,,2019-10-09 07:13:57,2013 / 中国大陆 中国台湾 / 剧情 喜剧 爱情 / 郭敬明 / 杨幂 柯震东
3821067,一代宗师,,https://dou.img.lithub.cc/movie/3821067.jpg,2013-01-08(中国大陆),https://movie.douban.com/subject/3821067/,8.2,"剧情,动作,爱情",,,,2019-10-09 07:13:48,2013 / 中国大陆 中国香港 / 剧情 动作 爱情 传记 / 王家卫 / 梁朝伟 章子怡
4915857,神偷奶爸2,,https://dou.img.lithub.cc/movie/4915857.jpg,2014-01-10(中国大陆),https://movie.douban.com/subject/4915857/,8.1,"喜剧,动画,冒险",,,,2019-10-09 07:11:28,2013 / 美国 法国 日本 / 喜剧 动画 冒险 / 皮埃尔·柯芬 克里斯·雷纳德 / 史蒂夫·卡瑞尔 克里斯汀·韦格
5308265,西游降魔篇,,https://dou.img.lithub.cc/movie/5308265.jpg,2013-02-10(中国大陆),https://movie.douban.com/subject/5308265/,7.2,"喜剧,奇幻,冒险",,,,2019-10-09 07:11:22,2013 / 中国大陆 中国香港 / 喜剧 奇幻 冒险 / 周星驰 郭子健 / 文章 舒淇
6874456,饥饿游戏2：星火燎原,,https://dou.img.lithub.cc/movie/6874456.jpg,2013-11-21(中国大陆),https://movie.douban.com/subject/6874456/,7.4,"动作,科幻,冒险",,,,2019-10-09 07:11:12,2013 / 美国 / 动作 科幻 冒险 / 弗朗西斯·劳伦斯 / 詹妮弗·劳伦斯 乔什·哈切森
1304899,速度与激情,,https://dou.img.lithub.cc/movie/1304899.jpg,2001-06-22(美国),https://movie.douban.com/subject/1304899/,7.9,"动作,犯罪",,,,2019-10-09 07:11:09,2001 / 美国 德国 / 动作 犯罪 / 罗伯·科恩 / 保罗·沃克 范·迪塞尔
3395373,蝙蝠侠：黑暗骑士崛起,,https://dou.img.lithub.cc/movie/3395373.jpg,2012-08-27(中国大陆),https://movie.douban.com/subject/3395373/,8.9,"剧情,动作,科幻",,,,2019-10-09 07:10:52,2012 / 美国 英国 / 剧情 动作 科幻 惊悚 犯罪 / 克里斯托弗·诺兰 / 克里斯蒂安·贝尔 汤姆·哈迪
5323957,安德的游戏,,https://dou.img.lithub.cc/movie/5323957.jpg,2014-01-07(中国大陆),https://movie.douban.com/subject/5323957/,7.1,"动作,科幻,冒险",,,,2019-10-09 07:10:39,2013 / 美国 / 动作 科幻 冒险 / 加文·胡德 / 阿萨·巴特菲尔德 哈里森·福特
25777330,闺蜜,,https://dou.img.lithub.cc/movie/25777330.jpg,2014-07-30(中国大陆),https://movie.douban.com/subject/25777330/,5.3,"喜剧,爱情",,,,2019-10-09 07:10:28,2014 / 中国大陆 / 喜剧 爱情 / 黄真真 / 陈意涵 薛凯琪
